"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Douglas DC-4"|"27279"|"3"|"3"|"January 19, 1952"|"324"|"0"|"Off Sandspit, BC, Canada"|"Northwest Orient Airlines"|"40"|"33"|"N45342"|"Tokyo - Elmendorf AFB"|"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the Pacific Ocean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water."|"01:38"|"43"
"Convair CV-240-0"|"054"|"3"|"3"|"January 22, 1952"|"6780"|"7"|"Elizabeth, New Jersey"|"American Airlines"|"20"|"20"|"N94229"|"Buffalo - Newark"|"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown."|"15:43"|"23"
"Douglas DC-3"|"13450"|"4"|"4"|"February 04, 1952"|"?"|"0"|"Kikwit, Belgian Congo"|"Sabena"|"11"|"11"|"OO-CBN"|"Costermansville - Leopoldville"|"In-flight failure of a propeller which damaged control cables causing loss of control of the aircraft. The control cables in the fuselage were sheared by the right propeller which broke loose following a shaft failure caused by the sudden stopping of the engine caused by fatigue failure of No. 6 piston lug."|"?"|"15"
"Boeing B-29"|"?"|"13"|"13"|"February 07, 1952"|"?"|"5"|"Kaneko, Japan"|"Military - U.S. Air Force"|"?"|"?"|"?"|"?"|"The military plane crashed into several houses in a snowstorm after taking from Yokota AFB and hitting  power lines."|"?"|"13"
"Douglas DC-6"|"43055/37"|"4"|"3"|"February 11, 1952"|"101"|"4"|"Elizabeth, New Jersey"|"National Airlines"|"59"|"26"|"N90891"|"Newark, NJ - Miami, FL"|"The aircraft crashed into an apartment complex shortly after taking off. The last message from the pilot was ""I've lost an engine and am returning to field.""   Reversal in flight of No. 3 propeller and subsequent feathering of No. 4 propeller at too low an altitude to effect a recovery."|"00:20"|"63"
"Vickers 614 Viking 1"|"142"|"5"|"5"|"February 16, 1952"|"?"|"0"|"Near Burgio, Italy"|"Hunting Air Travel"|"26"|"26"|"G-AHPI"|"Nice - Malta"|"Hit the north slope of La Cinta mountain range while en route.  Pilot did not maintain a safe altitude. The pilots ignorance of wind conditions which allowed the aircraft to drift 3 degrees off course."|"17:34Z"|"31"
"Douglas DC-3"|"19160"|"4"|"2"|"February 19, 1952"|"?"|"0"|"Nagpur, India"|"Deccan Airways"|"12"|"1"|"VT-AXE"|"Madras - Nagpur - Delhi"|"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach."|"02:23"|"16"
"Consolidated  32 Liberator II"|"12"|"4"|"4"|"February 19, 1952"|"?"|"0"|"Near Yaounde, Cameroon"|"STAAP"|"5"|"5"|"F-BEFX"|"?"|"?"|"?"|"9"
"Douglas DC-3A"|"3284"|"2"|"2"|"February 28, 1952"|"?"|"0"|"Uberlandia,  Brazil"|"Panair do Brasil"|"6"|"6"|"PP-PCN"|"Rio de Janeiro - Guiana"|"The right wing struck trees after attempting a go-around. Pilot error."|"?"|"8"
"SNCASE Languedoc"|"43"|"4"|"4"|"March 03, 1952"|"?"|"0"|"Nice, France"|"Air France"|"34"|"34"|"F-BCUM"|"Nice - Paris"|"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls."|"08:10"|"38"
"Douglas C-47A-35-DL"|"9754"|"3"|"3"|"March 10, 1952"|"?"|"0"|"Cebu, Philippines"|"Philippine Air Lines"|"0"|"0"|"PI-C5"|"Cebu - Hoilo"|"While taking off, the cargo plane, carrying a light load of freight, lost altitude and crashed into a house."|"?"|"3"
"Boeing B-29 / Boeing B-29"|"?"|"15"|"15"|"March 12, 1952"|"?"|"?"|"Near Sequin, Texas"|"Military - U.S. Air Force / U.S. Air Force"|"0"|"0"|"?"|"Training"|"While on a training mission and flying blind on instruments the planes collided. One plane struck the ground and disintegrated. The other glided down several miles away, exploded and burned. Both planes crashed on ranches several miles apart about 18 miles from San Antonio . Six killed on one plane and seven on the other."|"?"|"15"
"Douglas C-47-DL"|"4695"|"1"|"1"|"March 22, 1952"|"?"|"0"|"Near Gaspe, Quebec, Canada"|"Maritime Central Airways"|"3"|"3"|"CF-BXZ"|"St. Johns - Goose Bay"|"The cargo plane disappeared en route. Found on August 27, 1953."|"14:00"|"4"
"Douglas DC-6"|"43111/102"|"10"|"9"|"March 22, 1952"|"?"|"0"|"Frankfurt, Germany"|"KLM Royal Dutch Airlines"|"37"|"36"|"PH-TPJ"|"Rome - Frankfort"|"Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named ""Koningin Juliana."""|"10:45"|"47"
"Lockheed 18 Lodestar"|"2005"|"3"|"3"|"March 24, 1952"|"?"|"0"|"Near Gao, French West Africa"|"Société Aérienne de Tr. Tropicaux"|"18"|"14"|"F-ARTE"|"Gao, FWA - Nice, France"|"Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue."|"03:10"|"21"
"?"|"?"|"?"|"?"|"March 26, 1952"|"?"|"0"|"Moscow, Russia"|"Aeroflot"|"?"|"?"|"?"|"?"|"The plane overshot the runway and collided with a military aircraft killing at least 70 people."|"?"|"70"
"Douglas DC-3"|"?"|"3"|"3"|"March 29, 1952"|"?"|"0"|"Near San Felipe, Venezuela"|"TACA"|"9"|"9"|"YV-C-AZU"|"Maiquetia - San Felipe"|"Crashed into the summit on Cerro Grande Mountain."|"?"|"12"
"Douglas DC-3"|"13808"|"3"|"2"|"March 30, 1952"|"?"|"0"|"Baguio, Philippines"|"Philippine Air Lines"|"26"|"8"|"PI-C270"|"?"|"Crashed during takeoff. The plane hit an unidentified obstruction on the runway and the wheels collapsed."|"?"|"29"
"Curtiss C-46F-1-CU"|"22464"|"2"|"2"|"April 05, 1952"|"4-2"|"3"|"New York, New York"|"US Airlines"|"0"|"0"|"N1911M"|"Raliegh, NC - New York, NY"|"Violent engine surges and turbulence during a missed ILS approach caused the crew to loose control of the aircraft and crash at 171st St. and 89th Ave. in Queens. The no.1 engine fuel feed valve diaphragm  failed due to deterioration."|"08:25"|"2"
"Martin 202"|"9164"|"4"|"4"|"April 09, 1952"|"?"|"0"|"Mihara Volcano, Japan"|"Japan Air Lines"|"33"|"33"|"N93043"|"Tokyo - Osaka"|"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano."|"08:07"|"37"
"Douglas C-47A"|"13628"|"4"|"4"|"April 10, 1952"|"?"|"0"|"Agartala, India"|"Kalinga Airlines"|"0"|"0"|"VT-DFN"|"?"|"The cargo plane, carrying a load of tea,  crashed while taking off after losing an engine and attempting an emergency landing."|"?"|"4"
"Douglas DC-4"|"10503"|"5"|"0"|"April 11, 1952"|"526A"|"0"|"North of San Juan, Puerto Rico"|"Pan American World Airways"|"64"|"52"|"N88899"|"San Juan - New York City"|"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the Atlantic Ocean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor."|"12:20"|"69"
"Curtiss C-46F-1CU"|"22466"|"3"|"3"|"April 18, 1952"|"416W"|"0"|"Near Whittier, California"|"North Continental Airlines (Robin Airlines)"|"26"|"26"|"N8404C"|"Kansas City, MO - Phoenix - Burbank"|"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts."|"03:34"|"29"
"Boeing 377-10-26 Stratocruiser"|"15939/12"|"9"|"9"|"April 29, 1952"|"202"|"0"|"Near Carolina, Brazil"|"Pan American World Airways"|"41"|"41"|"N1039V"|"Rio de Janeiro - New York City"|"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope."""|"04:40"|"50"
"Douglas DC-3"|"13405"|"4"|"4"|"April 30, 1952"|"?"|"0"|"Delhi,  India"|"Deccan Airways"|"5"|"5"|"VT-AUN"|"Madras - Delhi"|"Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it."|"?"|"9"
"Douglas C-47A"|"12148"|"3"|"3"|"May 05, 1952"|"?"|"0"|"Near Skien, Norway"|"Fred Olsen Flyveselskap"|"26"|"8"|"LN-NAD"|"Amsterdam, Netherlands - Jarsberg, Norway"|"Crashed on a mountain slope while en route. There were mainly whaling crews aboard, returning from the antarctic. Crew navigational error."|"?"|"29"
"Douglas DC-3"|"42954"|"?"|"?"|"May 09, 1952"|"?"|"0"|"Ipoh, Malaysia"|"Garuda Indonesia Airlines"|"?"|"?"|"PK-DPA"|"?"|"Crashed shortly after taking off."|"?"|"17"
"Douglas DC-3"|"16894/34151"|"3"|"2"|"May 13, 1952"|"?"|"0"|"Sao Paulo, Brazil"|"VASP"|"19"|"3"|"PP-SPM"|"Sao Paulo - Bauru"|"Crashed while attempting to make an emergency landing after experiencing an engine failure. Failure of the port engine due to accessory drive failure. Failure of the starboard engine due to seizure as a result of deficient maintenance. Error on the part of the crew in lowering the landing gear in emergency conditions."|"?"|"22"
"Curtiss C-46A"|"446"|"6"|"6"|"May 24, 1952"|"?"|"0"|"Near Manaus, Brazil"|"Loide Aéreo Nacional"|"0"|"0"|"PP-LDE"|"?"|"The cargo plane lost an engine while taking off, stalled and crashed. Failure of maintenance staff to remove the flying control locks.  Failure of one engine for reason undetermined."|"?"|"6"
"Handley Page HP-81 Hermes IV"|"HP-81/15"|"8"|"1"|"May 26, 1952"|"251"|"0"|"Near Atar, Mauritania"|"British Overseas Airways"|"10"|"0"|"G-ALDN"|"Tripoli - Kano"|"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopic compass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopic compass in the place of the magnetic compass which was inoperative. The aircraft was named ""Horus."""|"08:45"|"18"
"Douglas DC-3"|"9001"|"3"|"3"|"June 13, 1952"|"?"|"0"|"Baltic Sea"|"Swedish Air Force"|"5"|"5"|"79001"|"Radio surveillance mission"|"Shot down by  a Mig-15 Russian Air Force fighter over the Baltic Sea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004."|"11:29"|"8"
"Airspeed AS-65 Consul"|"2593"|"1"|"1"|"June 14, 1952"|"?"|"?"|"Near Brighton, East Sussex, England"|"Morton Air Services"|"7"|"5"|"G-AHFT"|"Croydon - Le Mans"|"Ditched into the English Channel after losing the starboard engine possible due to carborateur icing."|"0949"|"8"
"Boeing B-50 Superfortress"|"?"|"?"|"?"|"June 24, 1952"|"?"|"0"|"Lakenheath AFB, England"|"Military - U.S. Air Force"|"?"|"?"|"?"|"?"|"After taking off from Larkenhealth AFB, the plane dropped out of a fortress of 10 aircraft and crashed and burned in the countryside between two farms."|"?"|"11"
"Avro Shackleton MR-1"|"?"|"2"|"2"|"June 25, 1952"|"?"|"0"|"Off Northumberland, North Sea"|"Military - Royal Air Force"|"11"|"9"|"VP261"|"Scrampton RAF Station, England"|"Crashed into the North Sea near Holy Island while participating in North Atlantic Treaty maneuvers."|"?"|"13"
"Fairchild packet (C119 flying boxcar)"|"?"|"6"|"4"|"July 18, 1952"|"?"|"0"|"Whiting Field, near Milton, Florida"|"Military - Navy"|"40"|"37"|"?"|"Corpus Christi - Norfork"|"The Marine cargo plane, carrying ROTC students taking part in summer training crashed while taking off after a refueling stop."|"0:00"|"46"
"Boeing 377 Stratocruiser"|"15939"|"8"|"0"|"July 27, 1952"|"201"|"0"|"Off Rio de Janeiro, Brazil"|"Pan American World Airways"|"19"|"1"|"N1030V"|"Rio de Janeiro - Buenos Aires"|"A woman was sucked out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked."|"11:46"|"27"
"Douglas DC-3"|"20187"|"4"|"4"|"August 12, 1952"|"?"|"0"|"Palmeira de Goias, Brazil"|"Transportes Areos Nacionales"|"20"|"20"|"PP-ANH"|"Rio Verde - Goiania"|"Exploded in midair. A bomb exploded aboard."|"?"|"24"
"Handley Page HP-81 Hermes 4A"|"HP-81/7"|"6"|"6"|"August 21, 1952"|"?"|"0"|"Off Trapani, Italy"|"Airwork"|"51"|"1"|"G-ALDF"|"Blackbushe - Malta - Khartoum"|"After failure of all four engines the plane ditched into the Mediterranean Sea. The initial failure of the No. 1 and 2 engines for reasons unknown."|"01:00Z"|"57"
"Bristol 170 Freighter"|"?"|"?"|"?"|"August 26, 1952"|"?"|"0"|"Near Khewra, West Pakistan"|"Military - Pakistan Air Force"|"?"|"?"|"G783"|"Khewra - Peshawar"|"Crashed shortly after taking off from Khewra. Possible engine failure."|"07:00"|"18"
"Douglas DC-2-115B"|"1322"|"4"|"2"|"August 29, 1952"|"?"|"0"|"Kosti, Sudan"|"Phoenix Airlines"|"0"|"0"|"ZS-DFW"|"Juba - Wadi Halfa"|"Extremely bad weather forced the captain of the cargo plane to divert from his original destination. No proper preparation had been made for a possible landing at an alternate airfield prior to commencement of flight. The secondary cause was due to the Captain's attempt to execute a landing at Kosti aerodrome which was not equipped with night landing facilities. The Captain landed on the runway but was unable to align himself with the center line and in consequence ran off the runway and struck a steel windsock support and thereafter struck various obstructions such as trees which lay in the path."|"21:05"|"4"
"de Havilland 110"|"?"|"1"|"1"|"September 06, 1952"|"?"|"29"|"Near Farnsborough, England"|"Private - de Havilland Aircraft"|"0"|"0"|"WG235"|"?"|"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled."|"15:40"|"1"
"Curtiss C-46"|"?"|"?"|"?"|"September 10, 1952"|"?"|"0"|"San Blas, Panama"|"SAM Colombia"|"?"|"?"|"?"|"?"|"?"|"?"|"46"
"Douglas C-47A"|"9945"|"3"|"3"|"September 15, 1952"|"?"|"0"|"Wadi Halfa, Sudan"|"Kalinga Airlines"|"0"|"0"|"VT-CGB"|"?"|"A navigational error on the part of the captain. This error was severely aggravated by the lack of proper radio aids from the destination airport, the unserviceability of the aircraft R/T equipment, and to a lesser degree the physical condition of the crew. The secondary cause was the cargo plane coming into close proximity of high ground due to the captains uncertainty of his position."|"?"|"3"
"Ilyushin IL-12"|"30054"|"5"|"5"|"October 05, 1952"|"376"|"0"|"Skvoritsy, Russia"|"Aeroflot"|"19"|"19"|"L1328"|"Minsk - Leningrad"|"Midair collision with a TC-62 aircraft. ATC error."|"16:02"|"21"
"Avro Shackleton MR-1"|"?"|"12"|"12"|"October 08, 1952"|"?"|"0"|"Off Tarbat Ness, Scotland"|"Military - Royal Air Force"|"2"|"2"|"VP286"|"?"|"Was on air-sea practice when it crashed near Tarbat Ness."|"?"|"14"
"Douglas DC-3"|"6177"|"?"|"?"|"October 14, 1952"|"?"|"0"|"San Fransisco do Paula, Brazil"|"Aero Brasil"|"?"|"?"|"PP-AXJ"|"Sao Paulo - Porto Alegre"|"After being cleared to land the aircraft struck high ground and burst int flames. Navigational error in not knowing where the aircraft was located. Poor weather."|"?"|"28"
"Curtiss-Wright C-46D-CU"|"32934"|"4"|"4"|"October 16, 1952"|"?"|"0"|"Off Kangnung, South Korea"|"Military - U.S. Air Force"|"21"|"21"|"44-77538"|"?"|"The aircraft crashed into the Sea of Japan while en route. No signs of the wreckage were ever found and only two bodies were recovered when they washed ashore."|"?"|"25"
"Boeing KC-97G Stratofreighter"|"16733"|"?"|"?"|"October 29, 1952"|"?"|"0"|"Near Flagstaff, Arizona"|"Military - U.S. Air Force"|"?"|"?"|"52-2711"|"?"|"Struck Gray Mountain in poor visibility while en route."|"08:30"|"16"
"Douglas C-54B-1-DC"|"10498"|"5"|"4"|"November 06, 1952"|"?"|"0"|"Lake Chad, Chad"|"Union Aeromaritime de Transport"|"1"|"1"|"F-BFVO"|"Fort Lamy - Beirut"|"?"|"?"|"6"
"Fairchild C-119C"|"10518"|"5"|"5"|"November 07, 1952"|"?"|"0"|"Near Summit, Alaska"|"Military - U.S. Air Force"|"14"|"14"|"51-2560A"|"Elmendorf AFB - Big Delta"|"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft."|"03:00"|"19"
"Fairchild C-119C"|"?"|"7"|"7"|"November 14, 1952"|"?"|"0"|"Near Seoul, South Korea"|"Military - U.S. Air Force"|"37"|"37"|"51-2551A"|"?"|"Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds."|"14:45"|"44"
"Fairchild C-119C"|"10528"|"5"|"5"|"November 15, 1952"|"?"|"0"|"Near Anchorage, Alaska"|"Military - U.S. Air Force"|"15"|"15"|"51-2570"|"Elemndorf AFB - Kodiak NAS"|"Disappeared while en route. No trace of the aircraft was ever found."|"?"|"20"
"Fairchild C-119C-23-FA Flying Boxcar"|"?"|"?"|"?"|"November 17, 1952"|"?"|"0"|"Shepard, Montana"|"Military - U.S. Air Force"|"?"|"?"|"?"|"Great Falls - Denver, Colorado"|"While en route, a propeller failed and punctured the fuselage after which vibrations caused the No. 1 engine to fall off. The pilot attempted to make an emergency landing. The plane crashed and came to rest in a muddy field."|"?"|"16"
"Douglas C-124A Globemaster"|"464096"|"11"|"11"|"November 22, 1952"|"?"|"0"|"Mount Gannett, Alaska"|"Military - U.S. Air Force"|"41"|"41"|"51-107A"|"?"|"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds. Wreckage found in 06/26/2012"|"c 20:15"|"52"
"Douglas C-54G (DC-4)"|"?"|"7"|"7"|"November 28, 1952"|"?"|"0"|"Near Tacoma, Washington"|"Military - U.S. Air Force"|"31"|"30"|"?"|"?"|"Crashed in poor visibility and fog after diverting to Great Falls. The No. 3 engine failed and the plane crashed into trees approximately 1 mile southwest of the airport. An 8-year old boy was the only survivor."|"00:50"|"38"
"Lisunov Li-2"|"?"|"?"|"?"|"December 06, 1952"|"?"|"0"|"Near Sofia, Bugaria"|"TABSO"|"?"|"?"|"?"|"Sofia - Varna"|"Crashed en route."|"?"|"18"
"Douglas DC-4"|"10319"|"8"|"7"|"December 06, 1952"|"?"|"0"|"Off Bermuda-Kindley Field, Bermuda"|"Cubana de Aviacion"|"33"|"30"|"CU-T397"|"Madrid - Azores - Bermuda - Havana"|"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East."""|"04:40"|"41"
"Douglas C-124A Globemaster"|"43238"|"10"|"5"|"December 20, 1952"|"?"|"0"|"Moses Lake, Washington"|"Military - U.S. Air Force"|"105"|"82"|"50-100"|"?"|"Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off."|"c 06:30"|"115"
"Curtiss C-46D"|"33486"|"3"|"3"|"December 21, 1952"|"?"|"0"|"Off Miami, Florida"|"Rutas Aéreas Nacionales SA"|"0"|"0"|"YV-C-ARC"|"?"|"Disappeared over the Atlantic. Never found."|"?"|"3"
"Douglas DC-3"|"?"|"?"|"?"|"December 22, 1952"|"?"|"?"|"Damascus, Syria"|"Syrian Air"|"?"|"?"|"?"|"?"|"?"|"?"|"?"
"Douglas DC-3"|"7391"|"?"|"?"|"December 25, 1952"|"?"|"0"|"Off Caracas, Venezuela"|"Avensa"|"?"|"?"|"YV-C-AVX"|"?"|"Lost altitude and ditched near shore after taking off."|"?"|"5"
"Douglas DC-3"|"9692"|"4"|"4"|"December 25, 1952"|"?"|"0"|"Tehran, Iran"|"Iran Air"|"25"|"23"|"EP-ACJ"|"Abadan - Tehran"|"Crashed while landing."|"?"|"29"
"Douglas DC-3"|"?"|"3"|"2"|"December 30, 1952"|"?"|"0"|"Chinmen Island, Taiwan"|"Philippine Air Lines"|"7"|"0"|"PI-C38"|"?"|"After takeoff from Laoag an armed man forced his way into the cockpit. He pulled .45-caliber pistol and demanded that the plane be brought to Amoy, in mainland China. The captain took over control from the co-pilot and put the plane into a steep dive. The hijacker did not lose his balance and instead shot and killed the captain. The co-pilot took over control and meanwhile the steward had come up to the cockpit to find out what was going on. As he knocked, the hijacker shot him twice through the cockpit door, killing him. The co-pilot changed course to China and continued at 6000 feet over the China Sea until two Chinese Nationalists T-6 Harvard planes showed up. Both planes chased the DC-3 and sprayed machine gun fire. The pilot managed to escape until he met with other Nationalist planes, who forced the flight to land at Quemoy. At Quemoy the hijacker was arrested."|"?"|"10"
"Vickers Viking 610-1B"|"262"|"4"|"3"|"January 05, 1953"|"?"|"0"|"Belfast, Northern Ireland"|"British European Airways"|"31"|"24"|"G-AJDL"|"Northolt - Belfast"|"Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot."|"20:53"|"35"
"Douglas C-54B-10-DO"|"18350"|"4"|"4"|"January 07, 1953"|"841"|"0"|"Issaquah, Washington"|"Flying Tiger Line"|"3"|"3"|"N86574"|"San Francisco - Seattle"|"The plane struck a tree on a mountain ridge at an elevation of 1,620 feet. Following impact with the tree the aircraft continued flying and finally struck the ground in a canyon 1,500 feet below and caught fire. The flight's deviation from the established approach procedure."|"20:55"|"7"
"Curtiss C-46"|"22395"|"3"|"3"|"January 07, 1953"|"1-6-6A"|"0"|"Fish Haven, Idaho"|"Associated Air Transport"|"37"|"37"|"N1648M"|"Boeing Field - Cheyenne"|"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."|"04:12"|"40"
"Vickers Valetta Mk1 / Avero Lancaster"|"?"|"10"|"10"|"January 15, 1953"|"-"|"0"|"25 nm off Agrigento, Italy"|"Military -Royal Air Force"|"16"|"16"|"VX562 / TX270"|"?"|"Both aircraft crashed after a midair collision at approximately 1,500 ft.  Weather conditions at the time were a factor with localized thundrestorms, heavy rain and hail. The court of enquiry was of the opinion that no responsibility could be attached to any individual.  Although evidence revealed that the  Malta Flight
Information Center were not in possession of full information on the Lancaster's sortie, it was not a contributory cause. Nineteen killed aboard the Vickers, 7 aboard the Lancaster."|"04:48"|"26"
"Douglas DC-3"|"4308"|"4"|"4"|"January 26, 1953"|"?"|"0"|"Sinnai, Sardinia, Italy"|"Linee Aeree Italiane"|"15"|"15"|"I-LAIL"|"Cagliari - Rome"|"Crashed 10 miles east of Cagliari in the Sinnai mountains after a wing failed due to overstressing."|"?"|"19"
"Avro 685 York 1"|"1304"|"6"|"6"|"February 02, 1953"|"?"|"0"|"Off Newfoundland, Canada"|"Lancashire Aircraft Corporation (Skyways)"|"33"|"33"|"G-AHFA"|"Lajes, Azores - Gander"|"Last know coordinates 46' 15"" N, 46'31""W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found."|"05:30"|"39"
"Douglas C-47B-15-DK"|"15283/26728"|"?"|"?"|"February 03, 1953"|"?"|"0"|"Lai Chau, Vietnam"|"Air Outremer"|"?"|"?"|"F-OAFR"|"?"|"Destroyed by shelling."|"?"|"18"
"Douglas C-54A-5-DC"|"10290"|"7"|"1"|"February 07, 1953"|"?"|"0"|"Bordeaux, France"|"UTA"|"14"|"6"|"F-BFGR"|"Abidjan - Bordeaux"|"Crashed into a grove of small trees and burst into flames while trying to land in heavy fog."|"?"|"21"
"Curtiss-Wright C-46"|"?"|"?"|"?"|"February 09, 1953"|"?"|"0"|"Cairo, Egypt"|"Military - Egyptian Air Force"|"?"|"?"|"1001"|"Al Arish - Cairo"|"Crashed into a hill during a sandstorm."|"19:00"|"35"
"Douglas DC-6"|"43057/73"|"5"|"5"|"February 14, 1953"|"470"|"0"|"Off Mobile, Alabama"|"National Airlines"|"41"|"41"|"N90893"|"Miami - Orlando - New Orleans"|"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a ""frontal wave"" storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed."|"17:10"|"46"
"de Havilland DH106 Comet 1A"|"06014"|"5"|"5"|"March 03, 1953"|"?"|"0"|"Karachi, Pakistan"|"Canadian Pacific Air Lines"|"6"|"6"|"CF-CUN"|"Karachi - Rangoon"|"The aircraft overran the runway during takeoff. Excessive nose-up attitude of the aircraft during the takeoff run producing a partly stalled condition and excessive drag. The pilot who had only limited experience in the Comet aircraft, elected to takeoff at night at the maximum permissable weight  for the prevailing conditions. The circumstances required strict adherence to the prescribed takeoff technique, which was not complied with.  First fatal crash of a commercial jet aircraft. The aircraft was named Empress of Hawaii."|"03:35"|"11"
"Curtiss C-46F"|"22400"|"2"|"2"|"March 04, 1953"|"162"|"0"|"Windsor Locks, Connecticut"|"Slick Airways"|"0"|"0"|"N4717N"|"New York, NY - Winsor Locks, CT"|"After missing his first approach to the airport, the pilot displayed poor judgement in attempting a circle under the overcast in rain and at night, rather than execute a standard instrument approach."|"01:50"|"2"
"Convair CV-240-7"|"082"|"5"|"5"|"March 14, 1953"|"?"|"0"|"Kalasahar, India"|"Orient Airways"|"11"|"11"|"AP-AEG"|"Delhi - Dacca"|"Crashed into a mountain while en route in severe weather. The pilot descended in poor visibility in order to find his position."|"?"|"16"
"Douglas DC-3"|"19105"|"?"|"?"|"March 17, 1953"|"?"|"0"|"Off Da Nang, Vietnam"|"Aigle Azur"|"?"|"?"|"F-BEFG"|"Hue - Da Nang"|"Crashed into the sea in poor weather conditions."|"?"|"8"
"Convair RB-36H"|"?"|"?"|"?"|"March 18, 1953"|"?"|"0"|"Random Island, Newfoundland"|"Military - U.S. Air Force"|"?"|"?"|"51-13721A"|"Azores - Rapid City AFB"|"The aircraft, flying low over the Atlantic Ocean, was to have flown higher when it reached the coast. Tail-winds caused the aircraft to arrive earlier and the plane hit a hill in low cloud cover."|"04:10"|"23"
